Whatisyourage,Whatisyourgender,IsEnglishyourfirstlanguage,ListofCountries,condition, Diverse_Target1,Diverse_Target2,Diverse_Target3,NonDiverse_Target1,NonDiverse_Target2,NonDiverse_Target3,Diverse_Filler1,Diverse_Filler2,Diverse_Filler3,NonDiverse_Filler4,NonDiverse_Filler5,NonDiverse_Filler6,
53,Male,Yes,United States of America,1,4,3,4,3,5,3,3,3.0,3,3,3,3,
30,Female,Yes,United States of America,1,6,4,6,5,5,5,5,3.0,7,7,4,4,
28,Male,Yes,United States of America,1,5,5,3,6,6,4,5,3.0,4,3,5,6,
28,Male,Yes,United States of America,1,7,6,6,6,5,4,6,5.0,4,5,5,2,
30,Female,Yes,United States of America,1,6,5,5,3,3,4,6,6.0,5,3,4,3,
29,Male,Yes,United States of America,1,7,4,6,6,3,2,7,7.0,5,6,6,2,
37,Male,Yes,United States of America,1,7,4,7,4,4,4,7,7.0,6,4,6,6,
41,Male,Yes,United States of America,1,7,7,6,6,7,7,7,7.0,7,6,6,7,
28,Male,Yes,United States of America,1,6,5,3,6,4,5,6,6.0,4,4,6,5,
55,Male,Yes,United States of America,1,4,2,5,2,2,2,2,4.0,2,2,2,2,
53,Male,Yes,United States of America,1,7,7,5,7,2,3,7,7.0,7,6,7,7,
36,Male,Yes,United States of America,1,6,5,4,3,1,2,4,5.0,3,2,5,3,
49,Female,Yes,United States of America,1,2,5,5,3,1,3,2,4.0,3,1,1,2,
29,Male,Yes,United States of America,1,0,5,4,3,5,5,4,4.0,3,4,4,3,
30,Male,Yes,United States of America,1,6,3,5,2,2,2,5,6.0,1,2,3,2,
28,Male,Yes,United States of America,1,5,3,4,3,3,3,5,4.0,4,4,5,4,
23,Male,Yes,United States of America,1,4,1,5,4,5,3,4,6.0,6,3,5,5,
29,Female,Yes,United States of America,1,7,3,5,6,3,2,6,6.0,7,7,7,4,
62,Male,Yes,United States of America,1,6,3,6,6,3,6,6,6.0,5,5,5,5,
37,Female,Yes,United States of America,1,7,6,5,4,2,3,7,7.0,5,3,4,2,
36,Male,Yes,United States of America,1,4,1,4,4,1,4,4,4.0,4,4,4,1,
34,Male,Yes,United States of America,1,7,1,6,5,1,2,7,7.0,7,5,6,3,
32,Female,Yes,United States of America,1,7,6,6,5,5,5,7,5.0,5,5,5,3,
51,Male,Yes,United States of America,1,2,1,4,2,3,2,2,3.0,5,2,6,2,
33,Male,Yes,United States of America,1,4,4,4,4,4,4,4,4.0,4,4,4,1,
19,Female,Yes,United States of America,1,5,5,6,4,3,3,5,6.0,5,3,4,4,
59,Female,Yes,United States of America,1,6,6,4,7,2,3,3,5.0,4,6,7,4,
23,Male,Yes,United States of America,1,4,5,3,5,5,6,2,4.0,6,5,3,5,
41,Female,Yes,United States of America,1,1,5,3,2,2,3,3,4.0,2,2,3,1,
26,Female,Yes,United States of America,1,4,5,3,5,6,5,4,7.0,4,7,6,4,
35,Female,Yes,United States of America,1,6,6,3,2,2,3,5,4.0,5,3,5,3,
36,Female,Yes,United States of America,1,4,3,3,4,3,4,2,3.0,2,5,3,3,
23,Male,Yes,United States of America,1,4,2,6,5,4,6,2,5.0,5,5,5,6,
30,Female,Yes,United States of America,1,1,2,1,1,2,1,1,1.0,1,2,1,2,
42,Female,Yes,United States of America,1,5,4,6,5,4,5,6,6.0,5,4,4,2,
69,Female,Yes,United States of America,1,4,3,3,4,2,2,6,5.0,4,3,4,3,
42,Female,Yes,United States of America,1,7,7,7,7,5,7,7,7.0,7,7,7,4,
34,Male,Yes,United States of America,1,5,5,3,4,3,3,6,6.0,1,2,5,4,
30,Male,Yes,United States of America,1,4,4,6,4,4,6,3,5.0,3,5,7,3,
45,Male,Yes,United States of America,1,3,1,2,3,1,2,2,4.0,4,4,4,3,
36,Male,Yes,United States of America,1,7,7,7,7,6,6,7,7.0,6,6,7,7,
34,Male,Yes,United States of America,1,6,6,5,6,5,4,6,5.0,6,5,5,5,
26,Female,Yes,United States of America,1,5,2,4,5,4,5,4,3.0,4,3,4,3,
46,Male,Yes,United States of America,1,7,7,7,6,4,4,7,7.0,5,4,4,4,
38,Male,No,United States of America,1,4,3,5,5,3,5,5,5.0,4,4,5,4,
37,Female,Yes,United States of America,1,6,4,5,4,2,3,5,7.0,6,3,7,3,
