"","V1","V2","V3","V4","V5","V6","V7","V8"
"Helpful Diverse 1",0,0.0326086956521739,0.0978260869565217,0.130434782608696,0.358695652173913,0.489130434782609,0.739130434782609,1
"Helpful Diverse 2",0,0.0760869565217391,0.195652173913043,0.326086956521739,0.467391304347826,0.695652173913043,0.869565217391304,1
"Helpful Diverse 3",0,0.0326086956521739,0.0760869565217391,0.239130434782609,0.391304347826087,0.608695652173913,0.902173913043478,1
"Helpful NonDiverse 1",0,0.0326086956521739,0.152173913043478,0.326086956521739,0.554347826086957,0.760869565217391,0.923913043478261,1
"Helpful NonDiverse 2",0,0.0760869565217391,0.260869565217391,0.478260869565217,0.652173913043478,0.858695652173913,0.945652173913043,1
"Helpful NonDiverse 3",0,0.0652173913043478,0.260869565217391,0.521739130434783,0.706521739130435,0.826086956521739,0.923913043478261,1
"Random Diverse 1",0,0.0108695652173913,0.0326086956521739,0.0652173913043478,0.195652173913043,0.5,0.793478260869565,1
"Random Diverse 2",0,0.0326086956521739,0.0543478260869565,0.108695652173913,0.25,0.5,0.815217391304348,1
"Random Diverse 3",0,0,0.0108695652173913,0.0326086956521739,0.173913043478261,0.478260869565217,0.771739130434783,1
"Random NonDiverse 1",0,0.0217391304347826,0.0652173913043478,0.16304347826087,0.304347826086957,0.543478260869565,0.847826086956522,1
"Random NonDiverse 2",0,0.0326086956521739,0.0760869565217391,0.119565217391304,0.33695652173913,0.608695652173913,0.858695652173913,1
"Random NonDiverse 3",0,0.0217391304347826,0.0543478260869565,0.130434782608696,0.282608695652174,0.510869565217391,0.815217391304348,1
